ISemR18,B.Tech. I Sem (R18)-Regular-November-2018,2018,05-11-2018,20-11-2018,REGULAR,1
IISemR18,B.Tech. II Sem (R18)-Regular-April-2019,2018,05-04-2019,20-04-2019,REGULAR,1
IIISemR18,B.Tech. III Sem (R18)-Regular-November-2019,2019,05-11-2019,20-11-2019,REGULAR,1
IVSemR18,B.Tech. IV Sem (R18)-Regular-April-2020,2019,05-04-2020,20-04-2020,REGULAR,1
VSemR18,B.Tech. V Sem (R18)-Regular-November-2020,2020,05-11-2020,20-11-2020,REGULAR,1
VISemR18,B.Tech. VI Sem (R18)-Regular-July-2021,2020,05-07-2021,20-07-2021,REGULAR,1
