code,sub_c,sn,n,dep,program,Regulation,Semester,istheory,ispractical,L,T,P,IM,EM,Cr
14023103,PN,CS,Control Systems,4,UG,R-14,V SEM,1,0,4,0,0,30,70,3
14043104,PJ,AWP,Antenna and wave propagation,4,UG,R-14,V SEM,1,0,4,0,0,30,70,3
14053112,PN,CO,Computer Organization,5,UG,R-14,V SEM,1,0,4,0,0,30,70,3
14043106,PJ,DICA,Digital IC Applications,4,UG,R-14,V SEM,1,0,4,0,0,30,70,3
14213107,HS,AECS LAB,Advanced English Language Communication skills lab,6,UG,R-14,V SEM,0,1,0,0,3,50,50,2
14043108,PJ,PDC LAB,Pulse & Digital Circuits Lab,4,UG,R-14,V SEM,0,1,4,0,0,50,50,2
14253107,HS,HVPE,Human Values and Professional Ethics,6,UG,R-14,V SEM,1,0,2,0,0,30,0,0
14043201,PJ,DC,Digital Communications,4,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14043202,PJ,MPI,Microprocessors & Interfacing,4,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14043203,PJ,MWE,Microwave Engineering,4,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14043204,PJ,DSP,Digital Signal Processing,4,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14043205,PJ,VLSI,VLSI Design,4,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14053213,PJ,CN,Computer Networks ,5,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14053212,PJ,DS,Data structures  ,5,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14053214,PJ,DBMS,Database Management Systems,5,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14043206,PJ,CE LAB,Communication Engineering Lab,4,UG,R-14,VI SEM,0,1,0,0,3,50,50,2
14043207,PJ,LICA LAB,Linear and Digital IC Applications Lab,4,UG,R-14,VI SEM,0,1,0,0,3,50,50,2
14254101,HS,MS,Management Science,6,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14044102,PJ,MCA,Microcontrollers & Applications,4,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14044103,PJ,EMI,Electronic Measurements and Instrumentation,4,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14044104,PJ,OC,Optical communications,4,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14044105,PJ,RS,RADAR Systems,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14044106,PJ,SP, Speech Processing,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14054112,PJ,JP,OOPS through Java Programming,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14044107,PJ,ERTOS,Embedded Real Time Operating Systems,4,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14054108,PJ,NN&FL,Neural networks and Fuzzy Logic,4,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14044108,PJ,DC,Data Communications,4,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14044109,PJ,MWOC LAB,Microwave & Optical Communications Lab,4,UG,R-14,VII SEM,0,1,0,0,3,50,50,2
14044110,PJ,MP&DSP LAB,Microprocessors & DSP lab,4,UG,R-14,VII SEM,0,1,0,0,3,50,50,2
14044201,PJ,CMC,Cellular & Mobile Communications,4,UG,R-14,VIII SEM,1,0,4,0,0,30,70,3
14044202,PJ,DIP,Digital Image Processing,4,UG,R-14,VIII SEM,1,0,4,0,0,30,70,3
14044203,PJ,SC,Satellite Communications,4,UG,R-14,VIII SEM,1,0,4,0,0,30,70,3
14044204,PJ,DAS,Data acquisition systems                                ,4,UG,R-14,VIII SEM,1,0,4,0,0,30,70,3
14044205,PJ,SSC,Spread Spectrum Communications ,4,UG,R-14,VIII SEM,1,0,4,0,0,30,70,3
14044206,PJ,BI, Biomedical Instrumentation,4,UG,R-14,VIII SEM,1,0,4,0,0,30,70,3
14044207,PJ,S,Seminar,4,UG,R-14,VIII SEM,1,0,0,0,0,100,0,3
14044208,PJ,PW,Project,4,UG,R-14,VIII SEM,0,1,0,0,0,50,50,10
14112103,PN,FM&HM,Fluid Mechanics & Hydraulic Machinery,2,UG,R-14,III SEM,1,0,4,0,0,30,70,3
14022105,PJ,CT,Circuit Theory,2,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14022106,PJ,EM-I,Electrical Machines - I,2,UG,R-14,III SEM,1,0,3,1,0,30,70,3
